編號	名稱	分類	子分類	會長頭銜	會長姓名	成立日期	電話	核准立案字號	會址
351	台灣區塑膠製品工業同業公會	職業團體	(台灣區工業團體)	理事長	蔡明忠  先生	47/02/08	02-27719111		台北市長安東路二段162號8樓
352	台灣區塗料工業同業公會	職業團體	(台灣區工業團體)	理事長	張德雄  先生	41/09/20	(02)2999-3236		新北市三重區重新路5段609巷20號3樓之7
353	台灣區煙火工業同業公會	職業團體	(台灣區工業團體)	理事長	王家祥  先生	71/09/02	05-2681821		嘉義縣水上鄉柳鄉村柳子林179-1號
354	台灣區煤礦業同業公會	職業團體	(台灣區礦業團體)	理事長	邱金標  先生	36/05/15	24588092		基隆市暖暖區源遠路29號
355	台灣區照明燈具輸出業同業公會	職業團體	(台灣區輸出業團體)	理事長	林慶源  先生	78/03/23	﹙02﹚29997739		台北縣三重市重新路五段609巷14號9F之3
356	台灣區裝飾陶瓷輸出業同業公會	職業團體	(台灣區輸出業團體)	理事長	林國盛  	72/04/30	037-233566		苗栗縣銅鑼鄉中正村中興工業區慶興一巷6號
357	台灣區裝飾燈泡燈串輸出業同業公會	職業團體	(台灣區輸出業團體)	理事長	張任生  先生	57/07/12	（02）28123253		台北市重慶北路四段97號3樓
358	台灣區資源再生工業同業公會	職業團體	(台灣區工業團體)	理事長	張復盛  先生	94/01/27	02-2915-1437		231台北縣新店市寶橋路48號6樓之3
359	台灣區遊艇工業同業公會	職業團體	(台灣區工業團體)	理事長	呂佳揚  先生	70/02/07	02-27038481	229243	臺北市大安區敦化南路二段59號14樓之3
360	台灣區電信工程工業同業公會	職業團體	(台灣區工業團體)	理事長	謝聖言  先生	77/04/30	02-27013838		台北市大安區信義路四段1-75號
361	台灣區電氣工程工業同業公會	職業團體	(台灣區工業團體)	理事長	莊敏哲  先生	42/12/31	02-25719236		台北市中山區松江路76號11樓
362	台灣區電氣工業同業公會	職業團體	(台灣區工業團體)	理事長	黃重球  先生	37/10/01	02-23667328	594142	台北市中正區羅斯福路三段二四二號十一樓
363	台灣區電動屠宰工業同業公會	職業團體	(台灣區工業團體)	理事長	陳敦芳  先生	82/07/16	(02)23915790		台北市和平東路1段177號4樓之13
364	台灣區電影製片工業同業公會	職業團體	(台灣區工業團體)	理事長	邱順清  先生	62/04/30	02-25637094		台北市中山區吉林路45號4樓402室
365	台灣區電線電纜工業同業公會	職業團體	(台灣區工業團體)	理事長	孫道存  先生	60/06/05	02-27930358	425318	114台北市內湖區民權東路6段11巷41號3樓
366	台灣區電機電子工業同業公會	職業團體	(台灣區工業團體)	理事長	郭台強  先生	37/10/24	02-8792-6666	8384345	台北市內湖區民權東路六段109號6樓
367	台灣區預拌混凝泥土工業同業公會	職業團體	(台灣區工業團體)	理事長	朱瑞爐  先生	65/05/20	02-29619498		新北市板橋區三民路2段37號13樓
368	台灣區漁網具製造工業同業公會	職業團體	(台灣區工業團體)	理事長	蔡哲仁  先生	77/04/02	07-7453545	594142	高雄市鳳山區經武路268號－4（6樓）
369	台灣區綜合營造工程工業同業公會	職業團體	(台灣區工業團體)	理事長	潘俊榮  先生	37/06/08	02-23813488		台北市開封街2段40號2樓
370	台灣區製冰冷凍冷藏工業同業公會	職業團體	(台灣區工業團體)	理事長	顏永來  先生	56/07/01	04-22235735		台中市中區光復路142號3樓
371	台灣區製衣工業同業公會	職業團體	(台灣區工業團體)	理事長	黃華德  先生	63/02/16	02-23919113	8730186	台北市愛國東路22號8樓
372	台灣區製茶工業同業公會	職業團體	(台灣區工業團體)	理事長	陳振芳  先生	43/04/01	02-25586251		台北市南京西路165號10樓8室
373	台灣區製傘工業同業公會	職業團體	(台灣區工業團體)	理事長	洪希律  先生	63/07/27	(02)2311-7557		台北市和平西路二段149號6樓之4
374	台灣區製鞋工業同業公會	職業團體	(台灣區工業團體)	理事長	賴奇見  先生	67/04/07	02-25066190		台北市中山區104松江路131號13樓
375	台灣區遠洋魷漁船魚類輸出業同業公會	職業團體	(台灣區輸出業團體)	理事長	施教民  先生	76/12/12	07-8117203		高雄市漁港中一路2號3樓之1
376	台灣區遠洋鮪延繩釣漁船魚類輸出業同業公會	職業團體	(台灣區輸出業團體)	理事長	謝文榮  先生	59/06/15	07-8419606		高雄市前鎮區漁港中一路2號3樓之2
377	台灣區遠洋鰹鮪圍網漁船魚類輸出業同業公會	職業團體	(台灣區輸出業團體)	理事長	蔡欣霖  先生	97/07/14	07-8131619		
378	台灣區酸碱工業同業公會	職業團體	(台灣區工業團體)	理事長	陳柏來  先生	36/09/18	02-27023914		10656台北市復興南路一段390號8樓之1
379	台灣區彈簧工業同業公會	職業團體	(台灣區工業團體)	理事長	陳義雄  先生	82/11/10	02 29997280		台北縣三重市重新路5段609巷14號4樓之2
380	台灣區樟腦工業同業公會	職業團體	(台灣區工業團體)	理事長	吳正中  先生	64/05/26	02-23379377		台北市重慶南路3段180號12樓
381	台灣區模具工業同業公會	職業團體	(台灣區工業團體)	理事長	許叙銘  先生	79/10/19	02-29995108		台北縣三重市重新路五段609巷12號6樓之16
382	台灣區樂器工業同業公會	職業團體	(台灣區工業團體)	理事長	黃旭坤  先生	66/03/11	（02）23453312		台北市光復南路505號12樓之11
383	台灣區蔬果輸出業同業公會	職業團體	(台灣區輸出業團體)	理事長	吳清綠  先生	77/07/28	（02）2531-6517		10458台北市新生北路2段31-1號12樓之3
384	台灣區複合材料工業同業公會	職業團體	(台灣區工業團體)	理事長	林柏實  先生	87/04/27	02-27150811		105台北市南京東路三段261號4樓D室
385	台灣區磚瓦工業同業公會	職業團體	(台灣區工業團體)	理事長	易榮昌  先生	64/05/28	04-7293102		彰化市民族路201巷17之2號3樓
386	台灣區鋼線鋼纜工業同業公會	職業團體	(台灣區工業團體)	理事長	張民亭  先生	65/07/31	02-27155032	736560	台北市復興北路369號6樓之7
387	台灣區環境保護工程專業營造業同業公會	職業團體	(台灣區工業團體)	理事長	楊錦松  先生	70/05/05	02-25431099		台北市中山區吉林路24號9樓之5
388	台灣區縫衣機輸出業同業公會	職業團體	(台灣區輸出業團體)	理事長	曾賢長  先生	59/09/15	04~22245712		台中市民權路185號12樓1室
389	台灣區黏性膠帶工業同業公會	職業團體	(台灣區工業團體)	理事長	李志賢  先生	65/01/12	02-2725-2217		台北市信義區信義路五段5號4樓4B13室
390	台灣區織布工業同業公會	職業團體	(台灣區工業團體)	理事長	謝海瑞  先生	44/11/26	02－23911318		台北市愛國東路22號10樓
391	台灣區織襪工業同業公會	職業團體	(台灣區工業團體)	理事長	魏平祺  先生	46/03/09	02-2391-3709		10092 台北市愛國東路22號6樓
392	台灣區舊船解體工程工業同業公會   (解散)	職業團體	(台灣區工業團體)	理事長	周蓮森  先生	60/07/04	(07)2010550		高雄市前金區中華三路5號5樓之一
393	台灣區瀝青工業同業公會	職業團體	(台灣區工業團體)	理事長	許政雄  先生	73/01/06	07-3118662		807高雄市吉林街347號5樓
394	台灣區藝品禮品輸出業同業公會	職業團體	(台灣區輸出業團體)	理事長	瞿訓愷  先生	59/09/09	02-27589390		台北市信義區信義路4段391號11樓之7
395	台灣區鑄造品工業同業公會	職業團體	(台灣區工業團體)	理事長	許深波  先生	84/07/22	02-25012162		台北市伊通街59巷6號4樓
396	台灣區鰻蝦輸出業同業公會	職業團體	(台灣區輸出業團體)	理事長	蔡秋棠  先生	60/02/20	02-25711254		台北市吉林路24號8樓之3
397	台灣區體育用品工業同業公會	職業團體	(台灣區工業團體)	理事長	王淑華  女士	61/04/27	02-2594-1864		台北市10461中山區德惠街22號8樓
398	台灣區鹽漬蔬果輸出業同業公會	職業團體	(台灣區輸出業團體)	理事長	謝文欽  先生		02-2508-1211		台北市長春路172號5樓之2
399	台灣區鑿井工程工業同業公會	職業團體	(台灣區工業團體)	理事長	黃炎興  先生		08-7555202~3		900屏東市武昌街3號
400	台灣陶瓷工業同業公會	職業團體	(台灣區工業團體)	理事長	王桂鳳  女士	49/12/21	02-23959857		100台北市北平東路30號12樓
401	福建省水管工程工業同業會	職業團體	(台灣區工業團體)	理事長	吳神佑  先生	89/03/29	082-372345		金門縣金城鎮伯玉路一段50-1號
402	福建省電氣工程工業同業公會	職業團體	(台灣區工業團體)	理事長	陳宗勇  先生	89/03/29	082-372345		金門路金城鎮伯玉路1段50-1號
403	臺灣化粧品工業同業公會	職業團體	(台灣區工業團體)	理事長	林鴻祐  先生	64/05/15	02-23819700		台北市博愛路136號8樓
404	臺灣手工具工業同業公會	職業團體	(台灣區工業團體)	理事長	吳傳福  先生	66/08/15	04-23580833	762407	臺中市西屯區工業一路6號2號
405	臺灣防水工程專業營造業同業公會	職業團體	(台灣區工業團體)	理事長	謝宗義  先生	97/11/10	02-25062978	內授中社0970018302	台北市南京東路3段9號8樓之2
406	臺灣拉鍊工業同業公會	職業團體	(台灣區工業團體)	理事長	潘黃月琴  女士	69/05/30	02-22789007	31775	新北市三重區重新路5段609巷16號7樓-3
407	臺灣肥皂清潔劑工業同業公會	職業團體	(台灣區工業團體)	理事長	陳逸弘  先生	37/06/08	02-27024441		台北市106大安區復興南路一段390號9樓
408	臺灣染料顏料工業同業公會	職業團體	(台灣區工業團體)	理事長	王世雄  先生	59/08/18	02-27318131		106台北巿大安區復興南路一段137號7樓
409	臺灣省不動產開發商業同業公會聯合會	職業團體	(省級商業團體)	理事長	楊玉全  先生	80/05/10			新竹市公道五路2段415號9樓
410	臺灣省百貨商業同業公會聯合會	職業團體	(省級商業團體)	理事長	蔡文成  先生	56/08/02	05-2251746		嘉義市化路79號3樓
411	臺灣省米穀商業同業公會聯合會	職業團體	(省級商業團體)	理事長	吳源昌  先生				
412	臺灣省刻印商業同業公會聯合會	職業團體	(省級商業團體)	理事長	許欽熏  先生	64/03/22	04-22125880		台中市東區雙十路一段4之33號8樓
413	臺灣省金銀珠寶商業同業公會聯合會	職業團體	(省級商業團體)	理事長	林國強  先生	54/01/08	02-23611245		台北市延平南路61號5樓之6
414	臺灣省消防工程器材商業同業公會聯合會	職業團體	(省級商業團體)	理事長	黃淑玲  女士	97/10/22	08-7323133	0970018352	屏東市博愛路145號
415	臺灣省資源回收商業同業公會聯合會	職業團體	(省級商業團體)	理事長	宋濬宏  先生	53/10/28	06-3036270		台南縣永康市成功路172巷85號
416	臺灣省飼料及動物用藥商業同業公會聯合會	職業團體	(省級商業團體)	理事長	郭弄  先生	59/09/01	04-25245265		台中市大誠街33-1號
417	臺灣省醫療器材商業同業公會聯合會	職業團體	(省級商業團體)	理事長	蔡來旺  先生	99/09/17	06-2658796	內授中社字第0990020902號	台南市南區文南路316號
418	臺灣省攝影商業同業公會聯合會	職業團體	(省級商業團體)	理事長	廖瑞祥  先生	63/03/02	02-2429515		20047基隆市愛三路79號1樓
419	臺灣砂石碎解加工業同業公會	職業團體	(台灣區工業團體)	理事長	林光陽  先生	102/12/26	03-9545889		宜蘭縣羅東鎮興東路204號
420	臺灣庭園景觀工程專業營造業同業公會	職業團體	(台灣區工業團體)	理事長	林新峰  先生	99/08/10	02-25062978	0990017964	台北市南京東路3段9號8樓之2
421	臺灣針織工業同業公會	職業團體	(台灣區工業團體)	理事長	莊振益  先生	38/11/15	02-2394-5121	129	台北市100 愛國東路22號7樓
422	臺灣胺基酸工業同業公會	職業團體	(台灣區工業團體)	理事長	楊坤祥  先生	56/12/30	02-27751892		10666台北市復興南路1段129號14樓
423	臺灣區人造纖維製造工業同業公會	職業團體	(台灣區工業團體)	理事長	詹正田  先生	54/02/24	02-23914151	294	台北市愛國東路22號9樓
424	臺灣區手套工業同業公會	職業團體	(台灣區工業團體)	理事長	徐長鐘  先生	58/07/26	02-23918396	329409	台北市愛國東路22號12樓
425	臺灣區木材工業同業公會	職業團體	(台灣區工業團體)	理事長	許庚龍  先生	37/04/01	02-89116575		新北市新店區北新路1段135號4樓
426	臺灣區毛巾工業同業公會	職業團體	(台灣區工業團體)	理事長	張旭初  先生	41/01/23	02-23210866	013	台北市愛國東路二十二號十二樓
427	臺灣區水泥製品工業同業公會	職業團體	(台灣區工業團體)	理事長	鍾健一  先生	41/09/10	02-23883988		台北市萬華區開封街2段62-1號3樓
428	臺灣區台灣區螺絲工業同業公會	職業團體	(台灣區工業團體)	理事長	陳明昭  先生	58/06/04	02-2506-0918	323059	台北市松江路71號4樓之1
429	臺灣區石油化學工業同業公會	職業團體	(台灣區工業團體)	理事長	陳武雄  先生	66/12/29	02-2707-3175		北市復興南路一段390號9樓之2
430	臺灣區印刷暨機器材料工業同業公會	職業團體	(台灣區工業團體)	理事長	陳金茵  先生	37/09/21	02-2391-9274		台北市仁愛路二段71號6樓A室
431	臺灣區車輛工業同業公會	職業團體	(台灣區工業團體)	理事長	陳國榮  先生	44/08/01	02-27051101		台北市復興南路一段390號9樓之4
432	臺灣區玻璃工業同業公會	職業團體	(台灣區工業團體)	理事長	林伯豐  先生	45/05/31	02-27130381		台北市南京東路3段261號2樓
433	臺灣區動物用醫藥保健工業同業公會	職業團體	(台灣區工業團體)	理事長	陳添寶  先生	61/04/14	02-27045043		10659台北市信義路3段134巷22號5樓
434	臺灣區基礎工程專業營造業同業公會	職業團體	(台灣區工業團體)	理事長	郭晉榮  先生	96/08/09	02-29322345	內授中社字第0960014016號	台北市長安東路1段52之1號4樓
435	臺灣區飲料工業同業公會	職業團體	(台灣區工業團體)	理事長	張斌堂  先生	89/07/27	(02) 2511-5394		台北市中山區10454林森北路119巷52號3樓
436	臺灣區塑膠原料工業同業公會	職業團體	(台灣區工業團體)	理事長	蘇士光  先生	60/09/15	02-25040879		台北市建國北路2段82號4樓
437	臺灣區農機工業同業公會	職業團體	(台灣區工業團體)	理事長	林永富  先生	69/05/23		8528234	25146新北市淡水區淡金路1段1號
438	臺灣區蜜餞工業同業公會	職業團體	(台灣區工業團體)	理事長	莊福松  先生	56/07/01	04-8321006		510彰化縣員林鎮博愛路101號6F-4
439	臺灣區擋土支撐及土方工程專業營造業同業公會	職業團體	(全國性工業團體-聯合會)	理事長	葉建輝  先生			1015934478	台北市中山區林森北路472號地下1樓
440	臺灣區鐘錶工業同業公會	職業團體	(台灣區工業團體)	理事長	唐昇平  先生	61/06/07	(02)25679494		台北市中山區長春路40號11樓之1
441	臺灣區麵粉工業同業公會	職業團體	(台灣區工業團體)	理事長	陳翼宗  先生	41/04/26	02-25010125		台北市民權東路3段6號18樓
442	臺灣區釀造食品工業同業公會	職業團體	(台灣區工業團體)	理事長	鍾淳仁  先生	70/01/28	02-23517726		台北市北平東路24號4樓之3
443	臺灣飼料工業同業公會	職業團體	(台灣區工業團體)	理事長	詹岳霖  先生	55/02/28	02-27028070		台北市復興南路一段368-1號9樓
444	臺灣製藥工業同業公會	職業團體	(台灣區工業團體)	理事長	陳威仁  先生	37/09/21	02-27365838		台北市敦化南路二段267號三樓
445	臺灣橡膠暨彈性體工業同業公會	職業團體	(台灣區工業團體)	理事長	林昇一  先生	37/04/01	02-23512261		台北市寧波東街七號
446	臺灣機械工業同業公會	職業團體	(台灣區工業團體)	理事長	徐秀滄  先生	37/04/28	02-2349-4666	285	台北市懷寧街一一Ｏ號2樓
447	臺灣糖菓餅乾麵食工業同業公會	職業團體	(台灣區工業團體)	理事長	陳正文  先生	59/07/30	02-27041662		10656台北市復興南路1段390號9樓之1
448	臺灣鋼鐵工業同業公會	職業團體	(台灣區工業團體)	理事長	鄒若齊  先生	52/11/30	02-25427900	275	台北市長安東路1段9號10樓
449	臺灣環保暨資源再生設備工業同業公會	職業團體	(台灣區工業團體)	理事長	朱俊彥  先生	77/03/05	02-26628087	8880221	新北市深坑區北深路3段155巷7號9樓
450	臺灣環境衛生用藥工業同業公會	職業團體	(台灣區工業團體)	理事長	陳吉昌  先生	98/04/29	02-66186858	0980008459	臺北市松江路38巷20號4樓
451	臺灣縫製機械工業同業公會	職業團體	(台灣區工業團體)	理事長	徐石淵  	102/10/08	02-29865533	內授中團字第1025062391	新北市三重區大智街138號2樓
452	臺灣醫療暨生技器材工業同業公會	職業團體	(台灣區工業團體)	理事長	郭義松  先生	42/02/03	02-29956099		新北市三重區重新路5段609巷6號3樓之3
453	臺灣罐頭食品工業同業公會	職業團體	(台灣區工業團體)	理事長	吳天賜  先生	43/12/06	(02)2502-2666		台北市中山區民生東路2段170號7樓
